temperature,thread_id,iteration,map_filename,no_of_agents,no_of_goals,per_point_diff,score,per_point_score,coeff_per_point_diff
4,8,143,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.76134,0.0517751,15,
4,2,144,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.76134,0.0517751,15,
0,4,145,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.73415,0.0512654,15,
4,2,146,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.76134,0.0517751,15,
1,0,147,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.00263,0.0562992,15,
2,4,148,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.05955,0.0573666,15,
0,4,149,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.10275,0.0581766,15,
1,0,150,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.07522,0.0576604,15,
3,3,151,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.73415,0.0512654,15,
2,0,152,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.66567,0.0499813,15,
0,7,153,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.01536,0.0565379,15,
1,6,154,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.06772,0.0575198,15,
3,1,155,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.22095,0.0603929,15,
1,8,156,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.21434,0.0602689,15,
0,0,157,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.38467,0.0634626,15,
3,7,158,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.13547,0.0587901,15,
1,4,159,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.9744,0.0557699,15,
1,6,160,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.95989,0.055498,15,
4,7,161,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.02962,0.0568055,15,
3,6,162,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.98586,0.0559848,15,
2,7,163,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.98039,0.0558823,15,
0,0,164,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.8543,0.0535181,15,
2,1,165,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.0221,0.0566644,15,
3,6,166,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.12682,0.0586279,15,
4,5,167,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.00203,0.0562881,15,
2,7,168,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.86454,0.0537101,15,
2,7,169,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.0378,0.0569587,15,
3,9,170,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.08994,0.0579363,15,
3,9,171,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.73415,0.0512654,15,
3,7,172,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.56249,0.0480467,15,
1,1,173,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.83035,0.0530691,15,
1,8,174,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.90797,0.0545245,15,
3,1,175,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.0761,0.0576769,15,
1,4,176,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.91232,0.054606,15,
3,4,177,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.18843,0.059783,15,
1,6,178,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.01507,0.0565325,15,
0,9,179,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.13189,0.0587229,15,
1,6,180,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.01507,0.0565325,15,
1,3,181,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.69524,0.0505358,15,
3,3,182,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.56249,0.0480467,15,
3,3,183,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.15716,0.0591968,15,
3,3,184,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.56249,0.0480467,15,
1,1,185,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.12903,0.0586693,15,
0,9,186,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.2677,0.0612694,15,
0,9,187,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.22716,0.0605093,15,
1,1,188,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.94769,0.0552692,15,
2,8,189,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.21332,0.0602497,15,
0,7,190,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.96924,0.0556733,15,
4,0,191,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.69524,0.0505358,15,
0,6,192,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.62394,0.0491989,15,
3,1,193,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.84292,0.0533047,15,
3,4,194,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.90787,0.0545226,15,
3,6,195,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.04866,0.0571624,15,
0,4,196,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.22468,0.0604627,15,
3,0,197,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.12172,0.0585322,15,
0,5,198,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.17454,0.0595226,15,
2,2,199,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.82745,0.0530147,15,
2,8,200,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.25041,0.0609452,15,
0,7,201,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.69524,0.0505358,15,
4,3,202,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.57022,0.0481915,15,
1,4,203,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.84292,0.0533047,15,
1,9,204,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.21083,0.041453,15,
3,0,205,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.15716,0.0591968,15,
0,9,206,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.75257,0.0516107,15,
3,0,207,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.97444,0.0557708,15,
0,5,208,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.35265,0.0628622,15,
3,0,209,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.97444,0.0557708,15,
3,3,210,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.18058,0.0596359,15,
2,3,211,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.56249,0.0480467,15,
0,7,212,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.75257,0.0516107,15,
1,4,213,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.56249,0.0480467,15,
3,4,214,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.56249,0.0480467,15,
1,2,215,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.98402,0.0559503,15,
3,3,216,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.98575,0.0559828,15,
4,5,217,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.8636,0.0536925,15,
0,7,218,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.76134,0.0517751,15,
2,7,219,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.89466,0.0542749,15,
2,7,220,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.81418,0.0527658,15,
0,2,221,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.56249,0.0480467,15,
0,7,222,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.62394,0.0491989,15,
0,2,223,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.56249,0.0480467,15,
2,4,224,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.6448,0.0495901,15,
2,9,225,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.89466,0.0542749,15,
2,9,226,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.78262,0.0521742,15,
0,7,227,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.01689,0.0565668,15,
2,9,228,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.78262,0.0521742,15,
0,2,229,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.87649,0.0539343,15,
3,0,230,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.80894,0.0526677,15,
2,6,231,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.56249,0.0480467,15,
2,8,232,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.11858,0.0584735,15,
0,2,233,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.80153,0.0525287,15,
0,2,234,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.1043,0.0582057,15,
0,9,235,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.03871,0.0569759,15,
0,2,236,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.87118,0.0538347,15,
0,3,237,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.87473,0.0539012,15,
0,2,238,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.87118,0.0538347,15,
0,7,239,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.11524,0.0584107,15,
0,5,240,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.11399,0.0583874,15,
4,7,241,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,0.170355,0.00319416,15,
3,1,242,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.56249,0.0480467,15,
2,7,243,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.83989,0.053248,15,
3,5,244,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.56249,0.0480467,15,
3,5,245,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.84292,0.0533047,15,
1,0,246,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.0833,0.0578118,15,
3,5,247,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.84292,0.0533047,15,
3,5,248,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.79003,0.0523131,15,
1,2,249,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.30808,0.0620265,15,
1,0,250,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.0833,0.0578118,15,
0,1,251,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.56249,0.0480467,15,
1,5,252,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.04124,0.0570232,15,
2,1,253,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.99654,0.0561852,15,
3,2,254,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.56249,0.0480467,15,
3,2,255,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.84982,0.0534341,15,
